0	16
0.004	23
0.008	19
0.012	23
0.016	15
0.02	21
0.024	17
0.028	22
0.032	30
0.036	19
0.04	25
0.044	16
0.048	17
0.052	28
0.056	25
0.06	13
0.064	25
0.068	19
0.072	18
0.076	26
0.08	21
0.084	18
0.088	21
0.092	20
0.096	20
0.1	20
0.104	15
0.108	15
0.112	21
0.116	24
0.12	18
0.124	30
0.128	24
0.132	26
0.136	19
0.14	15
0.144	29
0.148	23
0.152	19
0.156	15
0.16	17
0.164	23
0.168	29
0.172	21
0.176	15
0.18	15
0.184	20
0.188	30
0.192	20
0.196	20
0.2	23
0.204	24
0.208	20
0.212	30
0.216	22
0.22	22
0.224	20
0.228	24
0.232	20
0.236	15
0.24	22
0.244	11
0.248	27
0.252	26
0.256	24
0.26	27
0.264	24
0.268	12
0.272	20
0.276	12
0.28	16
0.284	27
0.288	14
0.292	17
0.296	20
0.3	25
0.304	11
0.308	21
0.312	19
0.316	25
0.32	13
0.324	15
0.328	22
0.332	29
0.336	26
0.34	19
0.344	25
0.348	23
0.352	20
0.356	15
0.36	17
0.364	19
0.368	18
0.372	19
0.376	18
0.38	15
0.384	17
0.388	12
0.392	17
0.396	13
0.4	23
0.404	17
0.408	18
0.412	21
0.416	20
0.42	19
0.424	32
0.428	16
0.432	19
0.436	19
0.44	22
0.444	19
0.448	22
0.452	19
0.456	19
0.46	13
0.464	20
0.468	26
0.472	28
0.476	23
0.48	17
0.484	17
0.488	21
0.492	21
0.496	22
0.5	21
0.504	22
0.508	20
0.512	23
0.516	21
0.52	22
0.524	22
0.528	18
0.532	14
0.536	26
0.54	19
0.544	13
0.548	29
0.552	17
0.556	22
0.56	20
0.564	24
0.568	26
0.572	13
0.576	17
0.58	13
0.584	14
0.588	18
0.592	33
0.596	28
0.6	20
0.604	13
0.608	20
0.612	19
0.616	20
0.62	21
0.624	17
0.628	13
0.632	11
0.636	20
0.64	26
0.644	21
0.648	19
0.652	18
0.656	21
0.66	16
0.664	16
0.668	15
0.672	17
0.676	19
0.68	12
0.684	24
0.688	25
0.692	20
0.696	11
0.7	16
0.704	19
0.708	27
0.712	17
0.716	26
0.72	19
0.724	14
0.728	30
0.732	17
0.736	25
0.74	18
0.744	23
0.748	30
0.752	13
0.756	18
0.76	11
0.764	22
0.768	18
0.772	14
0.776	13
0.78	17
0.784	21
0.788	28
0.792	24
0.796	14
0.8	17
0.804	22
0.808	21
0.812	29
0.816	27
0.82	20
0.824	23
0.828	16
0.832	19
0.836	18
0.84	17
0.844	23
0.848	14
0.852	23
0.856	21
0.86	21
0.864	27
0.868	22
0.872	21
0.876	15
0.88	18
0.884	16
0.888	16
0.892	11
0.896	24
0.9	18
0.904	22
0.908	22
0.912	19
0.916	23
0.92	21
0.924	16
0.928	21
0.932	30
0.936	19
0.94	28
0.944	15
0.948	21
0.952	19
0.956	20
0.96	16
0.964	22
0.968	31
0.972	18
0.976	22
0.98	16
0.984	20
0.988	26
0.992	18
0.996	30
1	19
1.004	21
1.008	19
1.012	22
1.016	25
1.02	18
1.024	19
1.028	14
1.032	17
1.036	24
1.04	17
1.044	23
1.048	29
1.052	24
1.056	19
1.06	23
1.064	20
1.068	18
1.072	16
1.076	17
1.08	11
1.084	21
1.088	31
1.092	23
1.096	13
1.1	27
1.104	19
1.108	16
1.112	15
1.116	16
1.12	16
1.124	23
1.128	20
1.132	23
1.136	23
1.14	17
1.144	15
1.148	8
1.152	24
1.156	15
1.16	25
1.164	22
1.168	22
1.172	19
1.176	31
1.18	13
1.184	20
1.188	14
1.192	13
1.196	22
1.2	15
1.204	24
1.208	20
1.212	14
1.216	20
1.22	23
1.224	21
1.228	15
1.232	11
1.236	22
1.24	16
1.244	14
1.248	13
1.252	21
1.256	14
1.26	18
1.264	20
1.268	22
1.272	16
1.276	15
1.28	22
1.284	15
1.288	18
1.292	26
1.296	29
1.3	17
1.304	11
1.308	23
1.312	27
1.316	22
1.32	19
1.324	21
1.328	26
1.332	19
1.336	12
1.34	16
1.344	26
1.348	19
1.352	30
1.356	13
1.36	21
1.364	26
1.368	16
1.372	19
1.376	20
1.38	23
1.384	15
1.388	33
1.392	16
1.396	14
1.4	23
1.404	25
1.408	18
1.412	22
1.416	27
1.42	18
1.424	25
1.428	15
1.432	16
1.436	17
1.44	14
1.444	13
1.448	23
1.452	14
1.456	24
